dataset,system,seed,epoch,step,loss,started_at_utc
ade,hrge,42,1,270,0.00403,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,275,0.00282,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,280,0.01403,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,285,0.00018,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,290,7e-05,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,295,0.01736,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,300,0.00096,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,305,0.01984,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,310,0.00713,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,315,0.0003,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,320,0.00063,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,325,0.01219,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,330,0.02447,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,335,0.00656,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,340,0.00011,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,345,0.00372,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,350,0.02817,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,355,0.00016,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,360,0.00035,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,365,0.00605,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,370,0.00103,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,375,0.00271,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,380,0.00015,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,385,2e-05,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,390,0.00584,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,395,0.03722,2026-09-04T09:46:48.412932+00:00
